nm_area_avaliacao,an_base,g_discente,total,frequencia,variacao
Teologia,2013,Male,225,61.81,155.33
Teologia,2014,Female,119,34.2,155.33
Teologia,2014,Male,229,65.8,155.33
Teologia,2015,Female,138,36.9,155.33
Teologia,2015,Male,236,63.1,155.33
Teologia,2016,Female,96,27.59,155.33
Teologia,2016,Male,252,72.41,155.33
Teologia,2017,Female,141,32.49,155.33
Teologia,2017,Male,293,67.51,155.33
Teologia,2018,Female,161,37.01,155.33
Teologia,2018,Male,274,62.99,155.33
Teologia,2019,Female,139,36.29,155.33
Teologia,2019,Male,244,63.71,155.33
Teologia,2020,Female,129,37.18,155.33
Teologia,2020,Male,218,62.82,155.33
Teologia,2021,Female,150,39.27,155.33
Teologia,2021,Male,232,60.73,155.33
